Processing: 1n_i50_20k
NodeBasis,1611668241,1611672633,4392, 44.9941, 0.8878, 6.6645, 3.9090, 5.2062, 4.5673, 7.0323, 6.4001, 5.2647, 5.9499
TurnOff (1 seconds),1611668241,1611672633,4392, 42.0962, 0.8306, 6.0324, 3.7056, 5.1693, 4.4774, 6.7212, 5.4626, 5.1552, 5.3724

Processing: 9n_i50_20k
Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169
Overall,1611702451,1611706757,4306, 54.0713, 1.0000, 6.1251, 5.8437, 5.5115, 5.7124, 6.1912, 6.1876, 5.8889, 6.6158, 5.9952
NodeBasis,1611702451,1611706757,4306, 48.2079, 0.8916, 6.0796, 5.0811, 4.2127, 4.4125, 6.1912, 6.0028, 4.7578, 6.3893, 5.0808
TurnOff (1 seconds),1611702451,1611706757,4306, 43.7138, 0.8084, 5.6461, 4.7993, 3.3280, 4.1399, 5.5942, 4.8283, 4.4846, 6.0690, 4.8242

Processing: 10n_i50_20k
Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170
Overall,1611707748,1611711774,4026, 55.6481, 1.0000, 5.5147, 5.3066, 5.3758, 5.4348, 6.1302, 5.5939, 5.2548, 5.7409, 5.9721, 5.3242
NodeBasis,1611707748,1611711774,4026, 47.1765, 0.8478, 5.4754, 3.3160, 4.9316, 3.8834, 6.1302, 5.3996, 3.7426, 5.5551, 4.7477, 3.9949
TurnOff (1 seconds),1611707748,1611711774,4026, 43.1822, 0.7760, 4.5243, 3.2580, 4.0877, 3.8412, 5.7923, 4.9752, 3.3463, 5.1286, 4.7079, 3.5207

Processing: 111n_i50_20k

Processing: 11n_i50_20k
Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170,192.168.1.171
Overall,1611716274,1611720336,4062, 58.7681, 1.0000, 5.5315, 5.1043, 5.1621, 5.3512, 5.6163, 5.2013, 5.3426, 5.9200, 5.1606, 5.3388, 5.0394
NodeBasis,1611716274,1611720336,4062, 48.8636, 0.8315, 5.4928, 3.0661, 3.6775, 4.3422, 5.6163, 4.9885, 3.3949, 5.7103, 3.3992, 4.2829, 4.8927
TurnOff (1 seconds),1611716274,1611720336,4062, 42.9868, 0.7315, 4.5273, 2.9871, 3.4443, 3.7958, 5.0901, 3.4674, 3.3219, 5.3455, 3.1594, 4.2133, 3.6346

Processing: 12n_i50_20k
Calculation,FirstSubmit,FinalSuccess,Jobs_Exec_Time,Total_Energy,Energy_Saving,192.168.1.161,192.168.1.162,192.168.1.163,192.168.1.164,192.168.1.165,192.168.1.166,192.168.1.167,192.168.1.168,192.168.1.169,192.168.1.170,192.168.1.171,192.168.1.172
Overall,1612335889,1612340295,4406, 67.8597, 1.0000, 5.7826, 5.6332, 5.8106, 5.4747, 5.7602, 5.5826, 5.9246, 5.7680, 5.6106, 5.6894, 5.3678, 5.4555
NodeBasis,1612335889,1612340295,4406, 53.1043, 0.7826, 4.6050, 3.4894, 5.8106, 5.2303, 5.4980, 3.4719, 5.6780, 5.3327, 3.3408, 3.5432, 3.3545, 3.7500
TurnOff (1 seconds),1612335889,1612340295,4406, 46.8382, 0.6902, 3.8222, 3.4095, 4.8022, 4.1492, 4.6628, 3.4300, 5.0027, 4.2482, 3.2600, 3.4811, 3.0956, 3.4746

